cd,margin_favor,margin
FL01,R,0.30595446
FL02,R,0.957294735
FL03,R,0.142799327
FL04,R,0.221955084
FL05,D,-0.302555398
FL06,R,0.212599576
FL07,D,-0.121038556
FL08,R,0.227056817
FL09,D,-0.12064808
FL10,D,-0.272438409
FL11,R,0.334443338
FL12,R,0.257642866
FL13,D,-0.060799015
FL14,D,-0.205150805
FL15,R,0.107704437
FL16,R,0.110005694
FL17,R,0.305596306
FL18,R,0.148118829
FL19,R,0.225588127
FL20,D,-0.573535478
FL21,D,-0.199241862
FL22,D,-0.17203101
FL23,D,-0.164033814
FL24,D,-0.551519483
FL25,R,1
FL26,R,0.03448618
FL27,R,0.027357679
GA01,R,0.166984401
GA02,D,-0.182310628
GA03,R,0.300911887
GA04,D,-0.601532017
GA05,D,-0.702986999
GA06,D,-0.091779483
GA07,D,-0.027825038
GA08,R,0.290367614
GA09,R,0.571613783
GA10,R,0.246201572
GA11,R,0.20852366
GA12,R,0.167614214
GA13,D,-0.547916979
GA14,R,0.494202357
HI01,D,-0.395391097
HI02,D,-0.295199341
ID01,R,0.391115104
ID02,R,0.323300105
IL01,D,-0.476484284
IL02,D,-0.576282219
IL03,D,-0.127574565
IL04,D,-0.681076786
IL05,D,-0.441388874
IL06,D,-0.073838719
IL07,D,-0.67066824
IL08,D,-0.463213632
IL09,D,-0.419644066
IL10,D,-0.277586675
IL11,D,-0.265960043
IL12,R,0.208618679
IL13,R,0.089258635
IL14,D,-0.013399759
IL15,R,0.468921099
IL16,R,0.29431717
IL17,D,-0.040507511
IL18,R,0.408199979
IN01,D,-0.161900363
IN02,R,0.229877281
IN03,R,0.356797063
IN04,R,0.332472712
IN05,R,0.04080956
IN06,R,0.408929567
IN07,D,-0.248704737
IN08,R,0.371009647
IN09,R,0.277104373
IA01,R,0.02533428
IA02,R,1.44931E-05
IA03,D,-0.013471842
IA04,R,0.230657916
KS01,R,0.423194428
KS02,R,0.14514369
KS03,D,-0.100570638
KS04,R,0.273049268
KY01,R,0.499856912
KY02,R,0.446982372
KY03,D,-0.253321815
KY04,R,0.34173575
KY05,R,0.684156123
KY06,R,0.163659664
LA01,R,0.469055931
LA02,D,-0.486024443
LA03,R,0.49872986
LA04,R,0.34936623
LA05,R,0.04380473
LA06,R,0.454991497
ME01,D,-0.236608249
ME02,D,-0.059806901
MD01,R,0.270587878
MD02,D,-0.356842536
MD03,D,-0.397209584
MD04,D,-0.593598831
MD05,D,-0.377809091
MD06,D,-0.196327306
MD07,D,-0.435830428
MD08,D,-0.366502407
MA01,D,-0.504384035
MA02,D,-0.298499812
MA03,D,-0.49515726
MA04,D,-0.208564137
MA05,D,-0.467076791
MA06,D,-0.299800696
MA07,D,-0.699697403
MA08,D,-0.5509924
MA09,D,-0.239748041
MI01,R,0.24807373
MI02,R,0.209769695
MI03,R,0.059194039
MI04,R,0.326378116
MI05,D,-0.126933347
MI06,R,0.156765529
MI07,R,0.17502395
MI08,D,-0.035945408
MI09,D,-0.192981006
MI10,R,0.325604096
MI11,D,-0.023803868
MI12,D,-0.357555436
MI13,D,-0.594273921
MI14,D,-0.609711279
MN01,R,0.030754549
MN02,D,-0.022567089
MN03,D,-0.11280582
MN04,D,-0.34201545
MN05,D,-0.384316562
MN06,R,0.315415455
MN07,R,0.135430853
MN08,R,0.19196568
MS01,R,0.374942532
MS02,D,-0.320333475
MS03,R,0.293354317
MS04,R,1
MO01,D,-0.598242723
MO02,R,0.063685607
MO03,R,0.409406699
MO04,R,0.379267768
MO05,D,-0.202156457
MO06,R,0.362339578
MO07,R,0.423000788
MO08,R,0.554922992
MT00,R,0.1277271
NE01,R,0.218486866
NE02,R,0.045598613
NE03,R,0.608386512
NV01,D,-0.283935075
NV02,R,0.157570563
NV03,D,-0.029828497
NV04,D,-0.048645137
NH01,D,-0.051033168
NH02,D,-0.101963819
NJ01,D,-0.24960133
NJ02,R,0.057567847
NJ03,D,-0.077619151
NJ04,R,0.216045979
NJ05,D,-0.075163584
NJ06,D,-0.22330335
NJ07,D,-0.012238822
NJ08,D,-0.494494771
NJ09,D,-0.33935621
NJ10,D,-0.693854329
NJ11,D,-0.066073404
NJ12,D,-0.330633307
NM01,D,-0.163764823
NM02,R,0.074494425
NM03,D,-0.173622137
NY01,R,0.09362388
NY02,R,0.064506144
NY03,D,-0.116885233
NY04,D,-0.121436827
NY05,D,-0.654653142
NY06,D,-0.336815061
NY07,D,-0.674208761
NY08,D,-0.675192049
NY09,D,-0.648097505
NY10,D,-0.482208695
NY11,R,0.061091551
NY12,D,-0.631134346
NY13,D,-0.793351195
NY14,D,-0.421361203
NY15,D,-0.740800679
NY16,D,-0.518625696
NY17,D,-0.222373166
NY18,D,-0.117910564
NY19,D,-0.109668955
NY20,D,-0.217285013
NY21,R,0.173911442
NY22,R,0.000333774
NY23,R,0.160699674
NY24,R,0.099046452
NY25,D,-0.191078919
NY26,D,-0.389679963
NY27,R,0.199687282
NC01,D,-0.08353556
NC02,D,-0.281304949
NC03,R,0.267680222
NC04,D,-0.346599989
NC05,R,0.358206747
NC06,D,-0.245457828
NC07,R,0.206537699
NC08,R,0.065675132
NC09,R,0.11184191
NC10,R,0.378151954
NC11,R,0.121609704
NC12,D,-1
NC13,R,0.363637988
ND00,R,0.414116502
OH01,R,0.071474363
OH02,R,0.221734774
OH03,D,-0.416861834
OH04,R,0.385408456
OH05,R,0.359957247
OH06,R,0.488271787
OH07,R,0.383216041
OH08,R,0.379415775
OH09,D,-0.261615499
OH10,R,0.16713614
OH11,D,-0.601066064
OH12,R,0.134673911
OH13,D,-0.075522746
OH14,R,0.201982639
OH15,R,0.26846758
OH16,R,0.263828352
OK01,R,0.310187766
OK02,R,0.530414831
OK03,R,0.569820621
OK04,R,0.390118909
OK05,R,0.041247462
OR01,D,-0.29385365
OR02,R,0.229441252
OR03,D,-0.49522004
OR04,D,-0.053172406
OR05,D,-0.067361691
PA01,R,0.131156338
PA02,D,-0.450714228
PA03,D,-0.820602644
PA04,D,-0.190548921
PA05,D,-0.293934909
PA06,D,-0.121084448
PA07,D,-0.037327333
PA08,D,-0.035548174
PA09,R,0.326606957
PA10,R,0.066247442
PA11,R,0.262472602
PA12,R,0.416877796
PA13,R,0.469748985
PA14,R,0.293891853
PA15,R,0.46916887
PA16,R,0.18677023
PA17,D,-0.02294166
PA18,D,-0.384963318
RI01,D,-0.549865988
RI02,D,-0.167041507
SC01,R,0.012678203
SC02,R,0.130683799
SC03,R,0.42520176
SC04,R,0.247130772
SC05,R,0.202117087
SC06,D,-0.373616016
SC07,R,0.236561739
SD00,R,0.619100299
TN01,R,0.522436097
TN02,R,0.365866641
TN03,R,0.368043609
TN04,R,0.333305532
TN05,D,-0.999892929
TN06,R,0.496942027
TN07,R,0.425938654
TN08,R,0.389708696
TN09,D,-0.572657279
TX01,R,0.451572626
TX02,R,0.128210749
TX03,R,0.121966311
TX04,R,0.525486748
TX05,R,0.260661952
TX06,R,0.088169722
TX07,D,-0.033346598
TX08,R,0.470409521
TX09,D,-0.538451466
TX10,R,0.07134677
TX11,R,0.614086979
TX12,R,0.306802608
TX13,R,0.609294792
TX14,R,0.232816266
TX15,D,-0.02877899
TX16,D,-0.294405201
TX17,R,0.149328875
TX18,D,-0.497859414
TX19,R,0.519200006
TX20,D,-0.315636278
TX21,R,0.066027548
TX22,R,0.069259009
TX23,R,0.03960644
TX24,R,0.013324768
TX25,R,0.138215555
TX26,R,0.233573569
TX27,R,0.281200938
TX28,D,-0.193216703
TX29,D,-0.437551526
TX30,D,-0.590791185
TX31,R,0.091449215
TX32,D,-0.06015648
TX33,D,-0.416729059
TX34,D,-0.135902142
TX35,D,-0.354258943
TX36,R,0.493453953
UT01,R,0.390809432
UT02,R,0.223686142
UT03,R,0.419603429
UT04,R,0.009993895
VT00,D,-0.385469906
VA01,R,0.16442351
VA02,D,-0.032008704
VA03,D,-0.369189802
VA04,D,-0.233852483
VA05,R,0.051384853
VA06,R,0.293015167
VA07,D,-0.018202267
VA08,D,-0.518143534
VA09,R,0.879539813
VA10,D,-0.13138792
VA11,D,-0.430639226
WA01,D,-0.172273475
WA02,D,-0.264133782
WA03,R,0.129771741
WA04,R,0.325755168
WA05,R,0.227712929
WA06,D,-0.188501879
WA07,D,-0.662152544
WA08,D,-0.035669915
WA09,D,-0.484383326
WA10,D,-0.137767437
WV01,R,0.379450793
WV02,R,0.261529557
WV03,R,0.426429845
WI01,R,0.1869328
WI02,D,-0.394171105
WI03,D,-0.026554215
WI04,D,-0.51941148
WI05,R,0.202745024
WI06,R,0.185045607
WI07,R,0.215193961
WI08,R,0.283877962
WY00,R,0.427844583
